,name,id,is_active
0,Abbie,1,True
1,Abe Beeson,70,False
2,Albina Cabrera,85,True
3,Amanda Wilde,65,False
4,Atticus,2,True
5,B-Mello,58,False
6,Brian Foss,3,True
7,Brit Hansen,49,True
8,Cheryl Waters,4,True
9,Chilly,5,True
10,Dan Digs,79,False
11,Darek Mazzone,6,True
12,Diane Horn,7,False
13,DJ Alex,8,True
14,DJ El Toro,9,False
15,DJ Jay,10,False
16,DJ Miss Ashley,11,True
17,DJ Mr Smith,75,False
18,DJ Rhythma,12,True
19,DJ Riz,13,True
20,DJ Shani,74,False
21,DJ Shannon,14,False
22,DJ Sharlese,15,True
23,DJ Testing,46,False
24,DJ Tim,16,False
25,DJ Yaddy,88,True
26,Don Slack,17,True
27,Doug Haire,18,False
28,Doug Paterson,77,False
29,Dr. Leon Berman,68,False
30,Dr. West,45,True
31,Emily Fox,52,True
32,Eva Walker,50,True
33,Evie,19,True
34,Gabriel Teodros,44,True
35,Greg J,62,False
36,Greg Vandy,20,True
37,Greta Rose,48,True
38,Guest DJ,21,True
39,Hannah Levin,73,False
40,Hans,22,True
41,Jack Walters,69,False
42,Jenn,23,True
43,Jo,81,False
44,John Gilbreath,24,True
45,Johnny Horn,25,True
46,John Richards,26,True
47,Jon Kertzer,67,False
48,Kennady Quille,89,True
49,Kevin Cole,27,True
50,Kid Hops,28,True
51,Kutfather,57,False
52,Lace Cadence,84,True
53,Larry Metro,66,False
54,"Larry Mizell, Jr.",55,True
55,Larry Rose,29,True
56,Lisa LeClair,90,True
57,Lisa Wood,80,False
58,Marco Collins,51,True
59,Marji Makers,76,False
60,Marlee Walker,63,False
61,Masa,30,True
62,Matthew Nichols,61,False
63,Mel,78,False
64,Michele Myers,53,True
65,Mike Fuller,31,False
66,Mike McCormick,32,False
67,Mike Ramos,33,True
68,Morgan,34,True
69,Nate,35,False
70,Nick Turner,71,False
71,OCnotes,47,False
72,Poptart,56,False
73,Quilty 3000,36,False
74,Rachel,72,False
75,Rachel Stevens,91,True
76,Reeves,37,True
77,Reverend Dollars,83,True
78,Rob Green,64,False
79,Sean,38,True
80,Sean Nelson,39,False
81,Selector Tamlin,60,False
82,Stas THEE Boss,40,False
83,Stevie Zoom,41,True
84,Supreme La Rock,86,True
85,Sureshot,59,False
86,Tanner Ellison,42,True
87,Tommy,82,False
88,Troy Nelson,43,True
89,Vitamin D,87,True
90,Youth DJ,54,True
