,name,id,description,tags,is_active
0,90.TEEN,26,"Rock,Eclectic,Variety Mix","Rock,Eclectic,Variety Mix",True
1,Audioasis,1,"Audioasis is KEXP's long-running Northwest music show hosted by Sharlese Metcalf. Past hosts have included Jonathen Poneman, Jason Hughes, Scott Vanderpool, Stevie Zoom, Sean Nelson and Hannah Levin. John Richards helps produce the show. Audioasis delivers three hours of local and live bands from all areas and genres of the Northwest. On Audioasis, you'll hear the new, the old, the demos, the vinyl, and the future of music. Every first Saturday of the month you can catch Audioasis out in the city LIVE! Tune in Saturday from 6-9 PM.","Rock,Eclectic,Pacific Northwest",True
2,Best Ambiance,27,Went off the air in 2011.,"African,World",False
3,Drive Time,33,,"Rock,Eclectic,Variety Mix",True
4,Early,32,,"Rock,Eclectic,Variety Mix",True
5,El Sonido,2,"El Sonido is a three hour trip around the diverse world of Latin music and culture from South, Central and North America, as well as Spain and the rest of the globe. \n\nThe focus is on new music and the growing Latin alternative scene, but traditional styles, both old and new are also regularly spotlighted. There's tons of fresh contemporary flavors to enjoy from hip-hop, nu-cumbia, indie-rock, reggaeton and dance punk to indie-folk, tropical bass, reggae, funk and more. Plus there’s an endless number of traditional styles too, you’ll hear bachata, tango, salsa, flamenco, norteño and dozens of others. \n\nMusicians and DJs from around the world will regularly stop by for exclusive live performances and I’ll keep you up-to-date with Latin music news and events. \n\nTune in every Monday evening and we’ll travel together, making new discoveries and having a blast along the way.","Latin,World",True
6,Expansions,3,"Expansions began in late 1995 as the brainchild of Riz Rollins as a response to the burgeoning acid jazz scene that was enjoying popularity in local clubs, but underexposed on the local airwaves. Even at its inception it has always been important that the show not be commanded by any monolithic style or single host, but has always enjoyed 3 hosts who bring a variety of influences and style to the final mix. An Expansions mix will include old and new releases in its mix in a variety of genres. An Expansions mix can included trip-hop, chill, ambient, drum and bass, house, dub, electronica, jazz, sometimes world music, sometimes rock, sometimes....well sometimes even the most disparate elements come together thanks to the expert curator efforts of its current hosts Kid Hops, Masa, and Riz. \n\n-DJ Riz",Electronic,True
7,Friday Night,22,"Electronic, Soul, R&B, Hip-Hop, Rock","Rock,Eclectic,Variety Mix",True
8,Jazz Theatre,4,"I have a personal mission statement in mind for Jazz Theater. That is, to really celebrate the fact that Jazz Is Alive and Thriving. Now! \n\nIn recent years, jazz has been cast in an unfortunate historical context -- as something that already happened, and is now over. Or, individual ""experts"" are too willing to narrowly define jazz - like; it sounds like this, and like that, and like this -- and if it doesn't, it isn't jazz. \n\nI think instead, that jazz, like any vibrant art form, has a mandate to expand and recreate itself -- to try new things, to get better, or at least to be different today than it was yesterday. Certainly jazz has a rich history. But part of that history is expansion and progression. Jazz never has stood still for long, there's no reason to think is should now. \n\nIn programming Jazz Theater I look for compelling work by artists who have been willing to blaze new trails. Clearly they have all studied the history of jazz, and thankfully they are not willing to be confined by it. Some of Jazz Theater will be familiar and, hopefully, some of it will be like nothing you've ever heard before. \n\n-John Gilbreath",Jazz,True
9,Live on KEXP,36,,"Live,Eclectic,Variety Mix",True
10,Mechanical Breakdown,34,,"Wave,Synth,Post Punk,EBM",True
11,Midnight in a Perfect World,5,"Multi-genre program featuring eclectic sets by a rotating cast of international and local DJs, each building upon a party vibe to kick off your weekend.","Eclectic,DJ,Variety Mix",True
