,id,program_id,hosts_ids,program_name,start_time
0,52491,12,[87],Street Sounds,2021-12-31T22:00:41-08:00
1,52490,12,[87],Street Sounds,2021-12-31T22:00:23-08:00
2,52489,12,[87],Street Sounds,2021-12-31T21:59:26-08:00
3,52488,22,[53],Friday Night,2021-12-31T19:01:00-08:00
4,52486,33,[50],Drive Time,2021-12-31T16:05:00-08:00
5,52487,33,[50],Drive Time,2021-12-31T16:00:28-08:00
6,52485,14,[50],The Afternoon Show,2021-12-31T13:00:00-08:00
7,52484,15,[38],The Midday Show,2021-12-31T10:00:26-08:00
8,52483,16,[1],The Morning Show,2021-12-31T07:02:44-08:00
9,52482,32,[1],Early,2021-12-31T05:01:48-08:00
10,52481,18,[2],Variety Mix,2021-12-31T01:00:02-08:00
11,52480,18,[89],Variety Mix,2021-12-30T21:00:17-08:00
12,52479,13,[22],Swingin' Doors,2021-12-30T19:00:01-08:00
13,52478,33,[50],Drive Time,2021-12-30T16:00:40-08:00
14,52477,14,[50],The Afternoon Show,2021-12-30T13:00:00-08:00
15,52476,18,[38],Variety Mix,2021-12-30T10:00:20-08:00
16,52475,16,[1],The Morning Show,2021-12-30T07:02:37-08:00
17,52474,32,[1],Early,2021-12-30T05:00:01-08:00
18,52473,18,[83],Variety Mix,2021-12-30T01:00:09-08:00
19,52472,18,[22],Variety Mix,2021-12-29T22:00:53-08:00
20,52471,23,[3],The Roadhouse,2021-12-29T18:59:16-08:00
21,52470,33,[19],Drive Time,2021-12-29T16:01:11-08:00
22,52469,14,[1],The Afternoon Show,2021-12-29T12:59:04-08:00
23,52468,15,[50],The Midday Show,2021-12-29T10:00:00-08:00
24,52467,16,[43],The Morning Show,2021-12-29T07:03:28-08:00
25,52466,32,[44],Early,2021-12-29T05:00:55-08:00
26,52465,18,[38],Variety Mix,2021-12-29T01:00:45-08:00
27,52464,18,[89],Variety Mix,2021-12-28T22:00:44-08:00
28,52463,20,[6],Wo' Pop,2021-12-28T19:01:05-08:00
29,52462,33,[19],Drive Time,2021-12-28T16:00:37-08:00
30,52461,14,[1],The Afternoon Show,2021-12-28T13:00:52-08:00
